scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S036,S036-E005,,age,INFORMATION,(a) The student who accepts this scholarship will not be permitted to avail any other scholarship / concession provided by any other agencies nor permitted to accept any part-time employment.,(a) The student who accepts this scholarship will not be permitted to avail any other scholarship / concession provided by any other agencies nor permitted to accept any part-time employment.
S036,S036-E006,,prior_benefit,INFORMATION,(b) Termination of Scholarship: The scholarship will be terminated without notice,(b) Termination of Scholarship: The scholarship will be terminated without notice
S036,S036-E007,,occupation_or_beneficiary_type,INFORMATION,(i) from the date the scholar debases to be on the roll of the institution or on the date of expiry of the sanction of the scholarship which ever is earlier. The scholarship can also be terminated without notice at any time if in the opinion of the institution and the Council the scholar is found to be negligent in his/her studies or is guilty of misconduct;,(i) from the date the scholar debases to be on the roll of the institution or on the date of expiry of the sanction of the scholarship which ever is earlier. The scholarship can also be terminated without notice at any time if in the opinion of the institution and the Council the scholar is found to be negligent in his/her studies or is guilty of misconduct;
S036,S036-E008,,occupation_or_beneficiary_type,INFORMATION,(ii) if the scholar is dropped by the institution due to peer performance.,(ii) if the scholar is dropped by the institution due to peer performance.
S037,S037-E001,,residency,INFORMATION,The candidate and the candidate's mother/father or guardian should be citizens of India and residents of the state of Maharashtra.,The candidate and the candidate's mother/father or guardian should be citizens of India and residents of the state of Maharashtra.
S037,S037-E002,,social_category,INFORMATION,This scheme is applicable to the students from the open/unreserved category.,This scheme is applicable to the students from the open/unreserved category.
S037,S037-E003,,social_category,INFORMATION,Students from the reserved category who wish to apply from the open category are eligible to apply for the scholarships.,Students from the reserved category who wish to apply from the open category are eligible to apply for the scholarships.
S037,S037-E004,,education,INFORMATION,"For PG, Diploma after Graduation and Ph.D courses from a foreign educational institution, THE (Times Higher Education) / or QS (Quacquarelli Symonds) Ranking must be within 200.","For PG, Diploma after Graduation and Ph.D courses from a foreign educational institution, THE (Times Higher Education) / or QS (Quacquarelli Symonds) Ranking must be within 200."
S037,S037-E005,,education,INFORMATION,Unconditional Offer Letter from the educational institution of abroad.,Unconditional Offer Letter from the educational institution of abroad.
S037,S037-E006,,income,<=,"₹ 8,00,000","Annual family income should be less than ₹ 8,00,000/-."
S037,S037-E007,,education,INFORMATION,The following seats are available for the said scholarship branch / course-wise:,The following seats are available for the said scholarship branch / course-wise:
S037,S037-E008,,special_condition,INFORMATION,02,02
S037,S037-E009,,education,INFORMATION,| **Sl. No.Branch/CoursePost Graduate Degree and Post Graduate DiplomaDoctorateTotal** |            |    |    |    |,| **Sl. No.Branch/CoursePost Graduate Degree and Post Graduate DiplomaDoctorateTotal** |            |    |    |    |
S037,S037-E010,,special_condition,INFORMATION,| ------------------------------------------------------------------------------------ | ---------- | -- | -- | -- |,| ------------------------------------------------------------------------------------ | ---------- | -- | -- | -- |
S037,S037-E011,,special_condition,INFORMATION,| 1                                                                                    | Art        | 01 | 01 | 02 |,| 1                                                                                    | Art        | 01 | 01 | 02 |
S037,S037-E012,,special_condition,INFORMATION,| 2                                                                                    | Commerce   | 01 | 01 | 02 |,| 2                                                                                    | Commerce   | 01 | 01 | 02 |
S037,S037-E013,,special_condition,INFORMATION,| 3                                                                                    | Science    | 01 | 01 | 02 |,| 3                                                                                    | Science    | 01 | 01 | 02 |
S037,S037-E014,,age,INFORMATION,| 4                                                                                    | Management | 01 | 01 | 02 |,| 4                                                                                    | Management | 01 | 01 | 02 |
S037,S037-E015,,education,INFORMATION,| 5                                                                                    | Law Course | 01 | 01 |    |,| 5                                                                                    | Law Course | 01 | 01 |    |
S037,S037-E016,,special_condition,INFORMATION,| 6Engineering/ Architecture Science040408 |              |    |    |    |,| 6Engineering/ Architecture Science040408 |              |    |    |    |
S037,S037-E017,,special_condition,INFORMATION,| ---------------------------------------- | ------------ | -- | -- | -- |,| ---------------------------------------- | ------------ | -- | -- | -- |
S037,S037-E018,,special_condition,INFORMATION,| 7                                        | Pharmacology | 01 | 01 | 02 |,| 7                                        | Pharmacology | 01 | 01 | 02 |
S037,S037-E019,,special_condition,INFORMATION,| ﻿<br>                                    | Total        | 10 | 10 | 20 |,| ﻿<br>                                    | Total        | 10 | 10 | 20 |
S038,S038-E001,,gender,INFORMATION,The girl student should belong to the Saharia tribe of the Baran district of Rajasthan.,The girl student should belong to the Saharia tribe of the Baran district of Rajasthan.
S038,S038-E002,,gender,INFORMATION,The girl child should be studying regularly in a government school.,The girl child should be studying regularly in a government school.
